Round,Bounce,Audio File,Latency
1,1,0,0
2,1,0,0
3,0,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,0,0,0
10,1,0,0
11,1,0,0
15,0,1,0
16,0,1,0
17,0,1,0
18,1,1,0
19,0,1,0
20,0,1,0
21,0,1,0
22,0,1,0
23,0,1,0
24,0,1,0
25,0,1,0
29,0,1,-200
30,0,1,-200
31,0,1,-200
32,0,1,-200
33,0,1,-200
34,0,1,-200
35,0,1,-200
36,0,1,-200
37,0,1,-200
39,0,1,-200
40,0,1,-200
42,1,1,-200
45,1,1,200
46,1,1,200
48,1,1,200
49,0,1,200
50,0,1,200
51,0,1,200
52,1,1,200
53,1,1,200
54,0,1,200
55,0,1,200
56,1,1,200
57,0,1,200
58,0,1,200
59,1,1,200
60,0,1,200
